Rk;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1/3;PPA;CrsPA;PrgP
563;8.4;210;269;78.1;4642;2134;57;63;90.5;114;126;90.5;38;70;54.3;0;0.0;0.0;0.0;3;13;0;0;16
564;5.2;259;303;85.5;4682;1320;106;115;92.2;131;137;95.6;20;40;50.0;0;0.1;0.1;-0.1;2;16;1;0;11
565;1.8;59;71;83.1;1042;429;28;30;93.3;26;31;83.9;5;7;71.4;0;0.1;0.1;-0.1;2;6;1;1;8
566;0.8;11;18;61.1;125;23;8;11;72.7;2;3;66.7;0;0;;0;0.1;0.1;-0.1;1;0;0;0;0
567;2.2;71;103;68.9;1108;330;41;46;89.1;23;34;67.6;6;13;46.2;0;0.1;0.2;-0.1;2;7;4;0;12
568;25.4;947;1148;82.5;20921;8376;225;265;84.9;543;611;88.9;173;249;69.5;0;0.2;0.3;-0.2;5;60;4;1;65
569;21.5;505;703;71.8;16077;12323;60;63;95.2;229;231;99.1;212;403;52.6;0;0.0;0.0;0.0;0;10;1;0;0
570;4.6;156;203;76.8;2612;979;73;83;88.0;67;83;80.7;12;28;42.9;0;0.1;0.3;-0.1;3;6;2;1;15
571;0.9;40;50;80.0;631;262;24;25;96.0;14;18;77.8;2;4;50.0;0;0.0;0.0;0.0;0;2;0;0;0
572;11.1;386;505;76.4;6019;1873;204;239;85.4;143;175;81.7;26;57;45.6;0;1.6;1.9;-1.6;22;47;14;5;64
573;7.7;248;334;74.3;4631;1507;108;129;83.7;103;133;77.4;33;51;64.7;1;0.5;0.9;+0.5;13;31;17;6;45
574;0.2;17;19;89.5;232;63;10;11;90.9;7;8;87.5;0;0;;0;0.0;0.0;0.0;0;0;0;0;1
575;0.3;6;10;60.0;57;36;5;7;71.4;0;1;0.0;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0
576;5.9;102;153;66.7;1466;307;62;87;71.3;32;41;78.0;5;9;55.6;1;0.7;0.4;+0.3;8;11;4;0;15
577;1.7;55;73;75.3;889;215;30;34;88.2;20;24;83.3;5;13;38.5;0;0.2;0.0;-0.2;1;4;2;0;9
578;17.0;343;461;74.4;5871;1648;172;201;85.6;132;165;80.0;34;62;54.8;0;1.3;1.8;-1.3;17;27;20;3;55
579;32.0;882;1184;74.5;28740;20785;131;132;99.2;359;369;97.3;389;672;57.9;0;0.0;0.1;0.0;0;37;0;0;1
580;15.0;290;448;64.7;5636;1588;116;146;79.5;121;175;69.1;45;92;48.9;2;1.6;1.3;+0.4;21;37;17;5;44
581;9.2;232;292;79.5;4593;1004;111;127;87.4;77;100;77.0;42;51;82.4;1;0.7;0.6;+0.3;10;40;8;2;32
582;22.7;583;774;75.3;9786;2508;285;332;85.8;230;293;78.5;52;106;49.1;4;3.6;3.6;+0.4;40;52;25;10;80
583;0.2;0;1;0.0;0;0;0;0;;0;1;0.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0
584;7.8;111;161;68.9;1470;363;60;78;76.9;34;46;73.9;4;9;44.4;1;1.0;0.6;0.0;12;13;3;0;17
585;8.5;108;144;75.0;1545;327;62;80;77.5;27;32;84.4;9;12;75.0;0;0.8;0.3;-0.8;6;5;5;0;13
586;18.3;631;770;81.9;11523;2588;272;316;86.1;256;297;86.2;90;123;73.2;0;0.5;0.8;-0.5;11;60;8;1;55
587;0.0;0;1;0.0;0;0;0;1;0.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0
588;20.7;739;944;78.3;12052;3447;380;431;88.2;286;341;83.9;55;119;46.2;4;4.1;5.2;-0.1;27;75;42;6;103
589;10.9;120;194;61.9;1742;277;73;95;76.8;36;59;61.0;6;9;66.7;1;0.4;0.4;+0.6;10;10;3;1;12
