PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,PasesCompletados,PasesIntentados,Pct_PasesCompletados,PasesUltTercioCampo,PasesClave,PasesCruzados,PasesCambioDeBanda,xG,npxG,xA,xG_90Min,xA_90Min
Rubén Pérez,28,0,0,13,0,1097,1460,75.1,141,13,6,69,0.3,0.3,1.1,0.01,0.04
Pablo Zabaleta,32,0,1,9,0,1114,1562,71.3,108,18,59,14,0.5,0.5,1.2,0.01,0.03
Cheikhou Kouyaté,27,2,3,5,0,749,1007,74.4,49,15,13,10,2.6,2.6,0.8,0.08,0.03
Marko Arnautovic,28,11,6,5,1,507,751,67.5,21,33,56,11,10,10,4.4,0.39,0.17
Amath,21,3,0,9,0,402,617,65.2,41,22,23,9,5.2,5.2,2,0.16,0.06
Francisco Portillo,27,2,3,6,0,731,998,73.2,95,23,14,12,2.7,1.1,2.9,0.1,0.11
Fayçal Fajr,28,1,2,7,0,734,1060,69.2,72,39,68,112,1.8,1,2.9,0.07,0.11
Frederic Guilbert,22,1,1,12,0,1021,1510,67.6,71,14,95,58,1.1,1.1,0.9,0.03,0.02
Ronny Rodelin,27,5,5,1,0,914,1337,68.4,120,57,61,70,8.3,7.6,6,0.24,0.17
Julien Féret,35,0,1,3,0,1313,1713,76.6,153,69,52,91,1,1,4,0.03,0.12
Lucas Leiva,30,2,3,9,0,1860,2144,86.8,246,35,8,38,2.6,2.6,1.8,0.08,0.06
Sergej Milinkovic-Savic,22,12,4,8,0,1424,1819,78.3,170,50,38,64,5.9,5.9,5,0.19,0.16
Luis Alberto,24,11,14,5,0,1339,1824,73.4,184,91,53,93,7.9,6.4,10.2,0.26,0.34
Marco Parolo,32,4,3,3,2,995,1237,80.4,85,27,23,40,5.5,5.5,2,0.19,0.07
Senad Lulic,31,3,4,7,2,1101,1475,74.6,79,35,89,62,2.3,1.6,3.3,0.09,0.12
Adam Marušic,24,3,4,3,1,925,1195,77.4,32,38,84,21,3.2,3.2,3,0.11,0.11
Thomas Mangani,30,2,4,7,0,1496,2088,71.6,206,64,92,90,4.4,3.6,5.9,0.13,0.17
Karl Toko Ekambi,24,17,5,4,0,690,907,76.1,33,41,34,27,16.2,13.9,4.2,0.48,0.12
Baptiste Santamaria,22,0,0,6,0,936,1169,80.1,116,16,14,48,0.3,0.3,1.1,0.01,0.04
Flavien Tait,24,4,3,5,2,702,981,71.6,73,40,52,31,3.9,3.9,4,0.16,0.16
Andrea Bertolacci,26,1,0,7,1,1310,1641,79.8,161,26,10,53,1.1,1.1,2,0.03,0.06
Diego Laxalt,24,3,3,2,0,934,1316,71,43,24,80,30,1.8,1.8,2.1,0.06,0.07
Goran Pandev,34,5,1,4,1,445,610,73,50,29,15,15,5.8,5.8,2.7,0.29,0.13
Theodor Gebre Selassie,30,3,0,4,0,1133,1441,78.6,81,19,24,17,2.5,2.5,1.4,0.08,0.04
Thomas Delaney,25,3,4,5,0,921,1274,72.3,93,28,29,27,4.2,4.2,2.5,0.14,0.08
Maximilian Eggestein,20,2,3,3,0,766,1013,75.6,81,16,20,16,4.6,4.6,1.2,0.15,0.04
Jay Rodriguez,28,7,1,2,0,507,729,69.5,42,18,22,16,7.9,7.2,1.2,0.25,0.04
Jake Livermore,27,2,2,5,0,871,1126,77.4,119,20,13,35,2.1,2.1,2,0.07,0.07
