Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
222;André-Pierre Gignac;fr FRA;FW;UANL;37-149;1985;30;29;2612;29.0;15;3;18;13;2;2;6;0;13.1;11.5;2.9;14.4;39;70;194;0.52;0.10;0.62;0.45;0.55;0.45;0.10;0.55;0.40;0.50
223;Milton Giménez;ar ARG;FW;Necaxa;26-264;1996;22;18;1496;16.6;4;2;6;4;0;0;4;0;3.6;3.6;1.9;5.5;24;29;93;0.24;0.12;0.36;0.24;0.36;0.22;0.11;0.33;0.22;0.33
224;Santiago Giménez;mx MEX;FW;Cruz Azul;22-015;2001;5;5;408;4.5;5;0;5;2;3;3;0;0;3.7;1.3;0.5;1.8;4;8;21;1.10;0.00;1.10;0.44;0.44;0.82;0.11;0.93;0.29;0.41
225;Rodrigo Godínez;mx MEX;DF;Tijuana;30-224;1992;14;13;1133;12.6;0;0;0;0;0;0;5;0;0.7;0.7;0.1;0.8;7;47;18;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.07;0.06;0.07
226;Alejandro Gómez;mx MEX;DF;Atlas;21-092;2002;6;4;364;4.0;0;2;2;0;0;0;0;0;0.0;0.0;0.8;0.8;2;19;3;0.00;0.49;0.49;0.00;0.49;0.00;0.20;0.20;0.00;0.20
227;Diego Gómez;mx MEX;MFDF;Necaxa;19-235;2003;14;3;356;4.0;0;0;0;0;0;0;0;0;0.5;0.5;0.0;0.5;1;15;14;0.00;0.00;0.00;0.00;0.00;0.11;0.01;0.12;0.11;0.12
228;Enrique Gomez;mx MEX;MF;Toluca;19-099;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
229;Jaime Gómez Valencia;mx MEX;MFDF;FC Juárez;29-290;1993;20;11;796;8.8;0;1;1;0;0;0;0;0;0.4;0.4;0.2;0.6;13;46;59;0.00;0.11;0.11;0.00;0.11;0.05;0.02;0.07;0.05;0.07
230;Alfonso González;mx MEX;MFFW;Monterrey;28-240;1994;34;28;2279;25.3;10;8;18;10;0;0;0;0;7.7;7.7;4.9;12.5;41;110;169;0.39;0.32;0.71;0.39;0.71;0.30;0.19;0.50;0.30;0.50
231;Bryan González;mx MEX;DFMF;Pachuca;20-023;2003;8;0;176;2.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.2;3;7;11;0.00;0.00;0.00;0.00;0.00;0.06;0.02;0.08;0.06;0.08
232;Pablo González Díaz;mx MEX;MF;Puebla;30-300;1992;11;7;644;7.2;0;0;0;0;0;0;2;0;0.1;0.1;0.2;0.3;2;45;4;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.05;0.02;0.05
233;Hugo González Durán;mx MEX;GK;Necaxa;32-275;1990;16;16;1440;16.0;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
234;Carlos González Espínola;py PAR;FW;Toluca;30-088;1993;31;26;2159;24.0;9;1;10;8;1;1;1;0;8.9;8.2;0.7;8.9;23;37;111;0.38;0.04;0.42;0.33;0.38;0.37;0.03;0.40;0.34;0.37
235;Fernando González;mx MEX;MF;UANL;22-007;2001;1;0;13;0.1;0;1;1;0;0;0;0;0;0.0;0.0;0.0;0.1;1;2;1;0.00;6.92;6.92;0.00;6.92;0.24;0.32;0.56;0.24;0.56
236;Jair González;mx MEX;MFDF;Santos;21-060;2002;26;17;1359;15.1;0;1;1;0;0;0;1;0;0.4;0.4;1.6;2.0;42;43;104;0.00;0.07;0.07;0.00;0.07;0.03;0.11;0.13;0.03;0.13
237;José González;mx MEX;FWMF;Guadalajara;24-165;1998;13;5;493;5.5;1;0;1;1;0;0;1;0;2.4;2.4;0.3;2.7;5;2;29;0.18;0.00;0.18;0.18;0.18;0.43;0.05;0.48;0.43;0.48
238;José González;mx MEX;FW;UNAM;18-172;2004;2;2;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;1;10;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01
239;Lucas González;ar ARG;MF;Santos;22-334;2000;11;5;426;4.7;1;1;2;1;0;0;2;2;0.3;0.3;0.7;1.0;13;29;18;0.21;0.21;0.42;0.21;0.42;0.06;0.16;0.22;0.06;0.22
240;Fernando Gorriarán;uy URU;MF;Santos;28-157;1994;16;16;1374;15.3;3;5;8;0;3;3;8;0;3.5;1.2;2.2;3.4;25;133;59;0.20;0.33;0.52;0.00;0.33;0.23;0.14;0.38;0.08;0.22
241;Fernando Gorriarán;uy URU;MFFW;UANL;28-157;1994;15;14;1098;12.2;2;2;4;2;0;0;1;0;2.0;2.0;4.2;6.1;23;75;109;0.16;0.16;0.33;0.16;0.33;0.16;0.34;0.50;0.16;0.50
242;Ismael Govea;mx MEX;DF;Tijuana;26-072;1997;27;25;2291;25.5;0;1;1;0;0;0;4;0;0.4;0.4;1.3;1.7;23;116;72;0.00;0.04;0.04;0.00;0.04;0.01;0.05;0.07;0.01;0.07
243;Omar Govea;mx MEX;MF;Monterrey;27-105;1996;13;2;323;3.6;0;2;2;0;0;0;2;0;0.2;0.2;0.9;1.1;5;30;7;0.00;0.56;0.56;0.00;0.56;0.06;0.26;0.31;0.06;0.31
244;Axel Grijalva;mx MEX;DF;Monterrey;22-281;2000;2;0;57;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
245;Javier Güemez;mx MEX;MF;Atlético;31-198;1991;33;28;2430;27.0;1;3;4;1;0;0;5;0;0.6;0.6;1.5;2.1;10;143;17;0.04;0.11;0.15;0.04;0.15;0.02;0.05;0.08;0.02;0.08
246;Rafael Guerrero;mx MEX;DF;Cruz Azul;20-110;2003;12;9;837;9.3;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;2;25;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
247;Emanuel Gularte;uy URU;DF;Puebla;25-215;1997;19;18;1563;17.4;2;0;2;2;0;0;4;0;1.2;1.2;0.3;1.6;9;44;8;0.12;0.00;0.12;0.12;0.12;0.07;0.02;0.09;0.07;0.09
248;Alexis Gutiérrez;mx MEX;MF;Cruz Azul;23-066;2000;5;3;315;3.5;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.3;4;14;8;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.08;0.04;0.08
249;Carlos Gutiérrez;mx MEX;DFFW;UNAM;24-087;1999;15;3;308;3.4;0;1;1;0;0;0;3;0;0.0;0.0;0.5;0.5;5;8;11;0.00;0.29;0.29;0.00;0.29;0.00;0.16;0.16;0.00;0.16
250;Edson Gutiérrez;mx MEX;DF;Monterrey;27-104;1996;10;6;586;6.5;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;5;15;20;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
251;Gustavo Gutiérrez;mx MEX;GK;Toluca;26-183;1996;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
252;Ricardo Gutiérrez;mx MEX;GK;Mazatlán;25-320;1997;13;12;1125;12.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
253;Carlos Guzmán;mx MEX;DF;Toluca;28-349;1994;6;5;429;4.8;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;5;12;11;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.04;0.03;0.04
254;Carlos Guzmán;mx MEX;DF;Querétaro;28-349;1994;10;4;384;4.3;0;0;0;0;0;0;1;0;0.3;0.3;0.0;0.3;4;18;20;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06
255;Nahuel Guzmán;ar ARG;GK;UANL;37-082;1986;33;33;2925;32.5;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
256;Víctor Guzmán;mx MEX;MFFW;Pachuca;28-089;1995;13;12;853;9.5;0;1;1;0;0;0;1;0;0.8;0.8;1.0;1.8;18;51;70;0.00;0.11;0.11;0.00;0.11;0.09;0.10;0.19;0.09;0.19
257;Víctor Guzmán;mx MEX;DF;Tijuana;21-057;2002;16;16;1395;15.5;1;0;1;1;0;0;1;0;0.5;0.5;0.0;0.5;8;27;3;0.06;0.00;0.06;0.06;0.06;0.03;0.00;0.03;0.03;0.03
258;Víctor Guzmán;mx MEX;MFFW;Guadalajara;28-089;1995;15;14;1186;13.2;7;2;9;4;3;3;2;1;4.8;2.5;2.6;5.1;14;83;69;0.53;0.15;0.68;0.30;0.46;0.37;0.20;0.57;0.19;0.39
259;Víctor Guzmán;mx MEX;DF;Monterrey;21-057;2002;15;13;1233;13.7;1;1;2;1;0;0;2;0;0.3;0.3;0.1;0.4;0;15;0;0.07;0.07;0.15;0.07;0.15;0.02;0.00;0.03;0.02;0.03
260;Abel Hernández;uy URU;FW;Atlético;32-268;1990;17;15;1267;14.1;8;0;8;6;2;2;2;0;5.2;3.6;0.8;4.4;4;17;45;0.57;0.00;0.57;0.43;0.43;0.37;0.05;0.42;0.26;0.31
261;Daniel Hernández;mx MEX;MF;Puebla;21-041;2002;1;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
262;Elías Hernández;mx MEX;MF;León;35-004;1988;19;7;694;7.7;0;0;0;0;0;0;0;0;1.0;1.0;3.5;4.5;29;37;69;0.00;0.00;0.00;0.00;0.00;0.13;0.45;0.59;0.13;0.59
263;Fernando Hernández;mx MEX;GK;Monterrey;25-121;1998;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
264;Illian Hernandez;mx MEX;FWMF;Pachuca;23-021;2000;22;4;635;7.1;4;0;4;4;0;0;2;0;2.6;2.6;0.2;2.9;5;9;29;0.57;0.00;0.57;0.57;0.57;0.37;0.03;0.41;0.37;0.41
265;Jesús Hernández;mx MEX;FWMF;Pachuca;21-275;2001;20;17;1116;12.4;1;1;2;1;0;0;2;0;1.4;1.4;2.3;3.7;26;29;118;0.08;0.08;0.16;0.08;0.16;0.11;0.19;0.30;0.11;0.30
266;Alberto Herrera;mx MEX;DFMF;Puebla;22-069;2001;9;0;135;1.5;0;0;0;0;0;0;1;0;0.0;0.0;0.3;0.3;6;5;22;0.00;0.00;0.00;0.00;0.00;0.00;0.18;0.18;0.00;0.18
267;Jonathan Herrera;mx MEX;MFFW;Atlas;21-345;2001;30;28;2140;23.8;6;5;11;6;0;0;4;0;5.3;5.3;5.4;10.8;69;65;122;0.25;0.21;0.46;0.25;0.46;0.22;0.23;0.45;0.22;0.45
268;Higor;br BRA;MF;UNAM;28-314;1994;24;20;1680;18.7;0;2;2;0;0;0;6;1;1.7;1.7;1.3;3.0;20;100;33;0.00;0.11;0.11;0.00;0.11;0.09;0.07;0.16;0.09;0.16
269;Marino Hinestroza;co COL;FWMF;Pachuca;20-299;2002;26;2;710;7.9;1;2;3;1;0;0;4;0;1.3;1.3;0.9;2.2;31;13;71;0.13;0.25;0.38;0.13;0.38;0.17;0.12;0.28;0.17;0.28
270;César Huerta;mx MEX;MFFW;UNAM;22-151;2000;26;16;1545;17.2;2;2;4;2;0;0;6;1;2.1;2.1;2.1;4.2;76;41;93;0.12;0.12;0.23;0.12;0.23;0.12;0.12;0.24;0.12;0.24
271;Valber Huerta;cl CHI;DF;Toluca;29-250;1993;34;34;3060;34.0;2;0;2;2;0;0;3;0;2.0;2.0;0.2;2.2;15;136;7;0.06;0.00;0.06;0.06;0.06;0.06;0.01;0.07;0.06;0.07
272;Rodrigo Huescas;mx MEX;DFMF;Cruz Azul;19-227;2003;27;12;1382;15.4;4;5;9;4;0;0;1;0;2.3;2.3;2.1;4.4;42;39;90;0.26;0.33;0.59;0.26;0.59;0.15;0.14;0.28;0.15;0.28
273;Avilés Hurtado;co COL;FWMF;Pachuca;36-013;1987;31;27;2152;23.9;4;8;12;4;0;0;7;0;3.4;3.4;5.5;8.9;131;104;189;0.17;0.33;0.50;0.17;0.50;0.14;0.23;0.37;0.14;0.37
274;Nicolás Ibáñez;ar ARG;FW;Pachuca;28-253;1994;18;16;1464;16.3;13;0;13;12;1;2;2;0;9.9;8.3;1.3;9.6;25;23;83;0.80;0.00;0.80;0.74;0.74;0.61;0.08;0.69;0.51;0.59
275;Nicolás Ibáñez;ar ARG;FW;UANL;28-253;1994;14;10;795;8.8;3;1;4;2;1;1;2;0;3.4;2.6;0.4;3.1;7;6;45;0.34;0.11;0.45;0.23;0.34;0.39;0.05;0.43;0.30;0.35
276;Javier Ibarra;mx MEX;MF;León;25-086;1998;5;0;69;0.8;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;2;2;2;0.00;0.00;0.00;0.00;0.00;0.27;0.00;0.27;0.27;0.27
277;Renato Ibarra;ec ECU;FWMF;Tijuana;32-103;1991;14;5;588;6.5;2;1;3;2;0;0;1;0;2.1;2.1;1.5;3.5;23;33;37;0.31;0.15;0.46;0.31;0.46;0.32;0.22;0.54;0.32;0.54
278;Romario Ibarra;ec ECU;FWMF;Pachuca;28-221;1994;10;7;500;5.6;1;0;1;1;0;0;1;1;0.9;0.9;0.3;1.2;29;12;54;0.18;0.00;0.18;0.18;0.18;0.16;0.05;0.21;0.16;0.21
279;Juan Ignacio Dinenno;ar ARG;FW;UNAM;28-248;1994;34;32;2777;30.9;14;4;18;12;2;3;7;0;15.1;12.9;2.2;15.1;30;52;167;0.45;0.13;0.58;0.39;0.52;0.49;0.07;0.56;0.42;0.49
280;Fernando Illescas;mx MEX;FWDF;Mazatlán;23-336;1999;8;1;183;2.0;1;0;1;1;0;0;0;0;0.3;0.3;0.2;0.5;1;2;22;0.49;0.00;0.49;0.49;0.49;0.14;0.09;0.24;0.14;0.24
281;Andrés Iniestra;mx MEX;MF;Atlético;27-053;1996;15;11;880;9.8;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;10;37;6;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02
282;Jefferson Intriago;ec ECU;MF;Mazatlán;26-333;1996;27;26;2307;25.6;0;1;1;0;0;0;8;0;0.4;0.4;0.6;1.0;23;145;31;0.00;0.04;0.04;0.00;0.04;0.01;0.02;0.04;0.01;0.04
283;Hugo Isaác Rodríguez;mx MEX;DF;Santos;32-329;1990;31;29;2506;27.8;2;1;3;2;0;0;7;1;0.8;0.8;0.5;1.3;6;42;2;0.07;0.04;0.11;0.07;0.11;0.03;0.02;0.05;0.03;0.05
284;Mauricio Isais;mx MEX;DF;Pachuca;22-024;2001;32;31;2632;29.2;2;1;3;2;0;0;7;0;3.1;3.1;1.2;4.3;68;131;89;0.07;0.03;0.10;0.07;0.10;0.10;0.04;0.15;0.10;0.15
285;Omar Israel Mendoza;mx MEX;DF;Querétaro;34-187;1988;28;25;2026;22.5;0;2;2;0;0;0;10;1;0.1;0.1;1.6;1.7;27;86;56;0.00;0.09;0.09;0.00;0.09;0.00;0.07;0.08;0.00;0.08
286;Edgar Iván López;mx MEX;FW;Toluca;24-012;1999;16;12;904;10.0;3;2;5;3;0;0;0;0;;;;;;;;0.30;0.20;0.50;0.30;0.50;;;;;
287;Edgar Iván López;mx MEX;FW;Tijuana;24-012;1999;11;7;595;6.6;2;0;2;2;0;0;0;0;;;;;;;;0.30;0.00;0.30;0.30;0.30;;;;;
288;José Iván Rodríguez;mx MEX;MF;León;26-320;1996;24;21;1901;21.1;0;1;1;0;0;0;2;1;0.3;0.3;0.3;0.6;20;88;17;0.00;0.05;0.05;0.00;0.05;0.01;0.02;0.03;0.01;0.03
289;Kenneth Jaime;mx MEX;DF;UANL;19-038;2004;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
290;José de Jesús Godínez;mx MEX;FW;Necaxa;26-103;1997;11;1;220;2.4;0;0;0;0;0;0;1;0;0.2;0.2;0.5;0.7;3;4;17;0.00;0.00;0.00;0.00;0.00;0.08;0.20;0.28;0.08;0.28
291;Cristian Jiménez;mx MEX;MF;Cruz Azul;20-289;2002;1;0;45;0.5;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;2;0;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.15;0.15;0.15
292;Jaiber Jiménez;mx MEX;DF;Cruz Azul;28-116;1995;3;3;268;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;6;7;6;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01
293;Oscar Jiménez;mx MEX;GK;América;34-203;1988;11;11;990;11.0;0;0;0;0;0;0;4;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
294;Miguel Jiménez Ponce;mx MEX;GK;Guadalajara;33-050;1990;34;34;3060;34.0;0;0;0;0;0;0;2;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
295;José Joaquín Esquivel;mx MEX;MF;Necaxa;25-116;1998;33;30;2605;28.9;0;0;0;0;0;0;11;0;0.3;0.3;0.6;0.9;10;119;18;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
296;José Joaquín Martínez;mx MEX;DFMF;Cruz Azul;36-070;1987;11;6;467;5.2;0;0;0;0;0;0;3;0;0.2;0.2;0.7;0.9;8;20;13;0.00;0.00;0.00;0.00;0.00;0.03;0.14;0.18;0.03;0.18
297;Julio José González;mx MEX;GK;UNAM;32-010;1991;20;20;1800;20.0;1;0;1;1;0;0;2;0;0.1;0.1;0.3;0.4;0;0;0;0.05;0.00;0.05;0.05;0.05;0.01;0.02;0.02;0.01;0.02
298;Alberto Joshimar Acosta;mx MEX;DF;FC Juárez;35-066;1988;14;12;913;10.1;0;0;0;0;0;0;5;2;0.1;0.1;0.1;0.2;17;61;22;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02
299;Joao Joshimar Rojas;ec ECU;MF;Monterrey;25-260;1997;6;0;103;1.1;0;2;2;0;0;1;0;0;0.8;0.0;1.0;1.1;12;6;16;0.00;1.75;1.75;0.00;1.75;0.72;0.90;1.62;0.03;0.93
300;José Juan Vázquez;mx MEX;MF;Tijuana;35-050;1988;25;20;1642;18.2;0;0;0;0;0;0;3;0;0.3;0.3;0.3;0.6;8;74;24;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.03;0.02;0.03
301;Ramón Juárez;mx MEX;DF;Atlético;21-359;2001;10;8;723;8.0;0;0;0;0;0;0;2;0;0.6;0.6;0.0;0.6;0;4;0;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.08;0.08;0.08
302;Heriberto Jurado;mx MEX;MFFW;Necaxa;18-120;2005;23;6;754;8.4;0;1;1;0;0;0;1;1;0.7;0.7;1.5;2.1;21;10;54;0.00;0.12;0.12;0.00;0.12;0.08;0.18;0.26;0.08;0.26
303;Sebastián Jurado;mx MEX;GK;Cruz Azul;25-217;1997;11;11;989;11.0;0;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
304;Mateo Klimowicz;de GER;MFFW;Atlético;22-301;2000;14;7;651;7.2;1;1;2;1;0;0;0;0;1.3;1.3;1.2;2.6;24;32;25;0.14;0.14;0.28;0.14;0.28;0.18;0.17;0.35;0.18;0.35
305;Matías Kranevitter;ar ARG;MF;Monterrey;29-347;1993;15;8;737;8.2;0;0;0;0;0;0;3;0;0.1;0.1;0.1;0.2;8;38;2;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
306;Roberto de la Rosa;mx MEX;FW;Pachuca;23-119;2000;27;20;1541;17.1;3;2;5;2;1;1;0;0;6.3;5.5;1.2;6.7;23;27;122;0.18;0.12;0.29;0.12;0.23;0.37;0.07;0.44;0.32;0.39
307;Diego Lainez;mx MEX;MFFW;UANL;22-328;2000;12;4;431;4.8;0;0;0;0;0;0;3;0;0.7;0.7;0.3;1.0;26;17;34;0.00;0.00;0.00;0.00;0.00;0.15;0.05;0.21;0.15;0.21
308;Mauro Laínez;mx MEX;FWMF;FC Juárez;26-359;1996;26;3;676;7.5;1;1;2;1;0;0;4;0;0.5;0.5;0.6;1.0;36;24;62;0.13;0.13;0.27;0.13;0.27;0.06;0.08;0.14;0.06;0.14
309;Gibran Lajud;mx MEX;GK;Santos;29-129;1993;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
310;Emilio Lara;mx MEX;DF;América;20-350;2002;24;21;1872;20.8;1;4;5;1;0;0;2;0;0.6;0.6;1.3;1.9;30;53;86;0.05;0.19;0.24;0.05;0.24;0.03;0.06;0.09;0.03;0.09
311;Israel Larios;mx MEX;MF;Atlas;19-357;2003;1;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
312;Miguel Layún;mx MEX;DF;América;34-312;1988;22;15;1486;16.5;0;6;6;0;0;0;3;0;0.6;0.6;3.4;4.0;22;55;126;0.00;0.36;0.36;0.00;0.36;0.03;0.20;0.24;0.03;0.24
313;Federico Lértora;ar ARG;MF;Tijuana;32-302;1990;30;30;2651;29.5;2;0;2;2;0;0;9;1;2.6;2.6;1.4;4.0;23;122;35;0.07;0.00;0.07;0.07;0.07;0.09;0.05;0.14;0.09;0.14
314;Dario Lezcano;py PAR;FWMF;FC Juárez;32-307;1990;14;4;433;4.8;4;0;4;4;0;0;1;0;1.4;1.4;0.1;1.5;3;6;30;0.83;0.00;0.83;0.83;0.83;0.28;0.03;0.31;0.28;0.31
315;Igor Lichnovsky;cl CHI;DF;UANL;29-057;1994;27;25;2222;24.7;0;0;0;0;0;0;10;1;0.9;0.9;0.5;1.4;20;84;4;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.05;0.04;0.05
316;Erik Lira;mx MEX;MF;Cruz Azul;22-360;2000;32;30;2543;28.3;0;1;1;0;0;0;5;0;0.6;0.6;0.6;1.2;11;130;24;0.00;0.04;0.04;0.00;0.04;0.02;0.02;0.04;0.02;0.04
317;Aldo Llanas;;MF;Toluca;;;2;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
318;Aldo López;mx MEX;MF;Santos;22-345;2000;25;12;1260;14.0;0;0;0;0;0;0;2;0;0.3;0.3;0.2;0.4;4;54;18;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
319;Gabriel López;mx MEX;FWMF;Mazatlán;20-082;2003;2;0;24;0.3;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.1;1;2;1;3.75;0.00;3.75;3.75;3.75;0.25;0.00;0.25;0.25;0.25
320;Raúl López Gómez;mx MEX;DF;Santos;30-069;1993;13;13;959;10.7;0;1;1;0;0;0;0;0;0.5;0.5;1.1;1.6;20;34;42;0.00;0.09;0.09;0.00;0.09;0.05;0.10;0.15;0.05;0.15
321;Raúl López Gómez;mx MEX;DF;Toluca;30-069;1993;10;7;566;6.3;0;0;0;0;0;0;0;0;0.2;0.2;0.5;0.7;8;15;22;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.11;0.02;0.11
322;Leonel López;mx MEX;MF;Tijuana;28-344;1994;11;6;535;5.9;0;0;0;0;0;0;1;0;0.6;0.6;0.8;1.4;10;44;11;0.00;0.00;0.00;0.00;0.00;0.11;0.13;0.24;0.11;0.24
323;Leonel López;mx MEX;MF;UNAM;28-344;1994;14;11;844;9.4;0;4;4;0;0;0;6;0;0.4;0.4;1.5;1.9;17;82;25;0.00;0.43;0.43;0.00;0.43;0.04;0.16;0.20;0.04;0.20
324;Lisandro López;ar ARG;DF;Tijuana;33-244;1989;27;26;2223;24.7;4;0;4;2;2;3;6;0;3.5;1.1;0.6;1.7;22;103;5;0.16;0.00;0.16;0.08;0.08;0.14;0.02;0.16;0.04;0.07
325;Nicolás López;uy URU;FWMF;UANL;29-214;1993;20;7;646;7.2;2;3;5;1;1;1;4;0;2.5;1.7;2.1;3.8;15;38;57;0.28;0.42;0.70;0.14;0.56;0.35;0.30;0.65;0.24;0.54
326;Rodrigo López;mx MEX;MF;Querétaro;35-210;1987;28;17;1403;15.6;2;0;2;2;0;0;6;0;1.5;1.5;1.1;2.7;24;71;61;0.13;0.00;0.13;0.13;0.13;0.10;0.07;0.17;0.10;0.17
327;Vladimir Loroña;mx MEX;DFMF;UANL;24-168;1998;11;8;612;6.8;0;1;1;0;0;0;1;0;0.0;0.0;0.8;0.8;12;21;29;0.00;0.15;0.15;0.00;0.15;0.00;0.11;0.11;0.00;0.11
328;Augusto Lotti;it ITA;FWMF;Cruz Azul;26-327;1996;15;5;564;6.3;3;2;5;3;0;0;1;0;2.9;2.9;0.9;3.9;6;5;39;0.48;0.32;0.80;0.48;0.80;0.47;0.15;0.62;0.47;0.62
329;Brian Lozano;uy URU;MFDF;Santos;29-069;1994;2;1;109;1.2;1;1;2;0;1;1;0;0;0.9;0.1;0.7;0.9;5;2;3;0.83;0.83;1.65;0.00;0.83;0.75;0.61;1.36;0.10;0.71
330;Brian Lozano;uy URU;MFFW;Atlas;29-069;1994;16;12;1061;11.8;6;0;6;6;0;0;5;1;1.6;1.6;1.2;2.8;45;73;70;0.51;0.00;0.51;0.51;0.51;0.14;0.10;0.24;0.14;0.24
331;Esteban Lozano;mx MEX;MF;América;20-054;2003;1;0;14;0.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;1;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.36;0.36;0.36
332;José Lozano;mx MEX;MFDF;Santos;24-210;1998;12;1;251;2.8;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;4;10;21;0.36;0.00;0.36;0.36;0.36;0.26;0.01;0.27;0.26;0.27
333;Lucao;br BRA;DF;Puebla;30-069;1993;23;16;1474;16.4;1;1;2;1;0;0;6;0;0.8;0.8;0.6;1.4;8;44;12;0.06;0.06;0.12;0.06;0.12;0.05;0.04;0.09;0.05;0.09
334;Israel Luna;mx MEX;MFFW;Pachuca;21-041;2002;25;7;819;9.1;3;0;3;3;0;0;3;0;1.4;1.4;0.6;1.9;19;31;40;0.33;0.00;0.33;0.33;0.33;0.15;0.06;0.21;0.15;0.21
335;Darwin Machís;ve VEN;FWMF;FC Juárez;30-085;1993;10;7;510;5.7;1;0;1;0;1;1;1;0;1.3;0.5;0.3;0.9;8;22;39;0.18;0.00;0.18;0.00;0.00;0.23;0.06;0.29;0.09;0.15
